Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,78.1268292682927,78.5756097560976,78.6780487804878,78.6317073170732,79.1804878048781,79.3317073170732,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,80.890243902439,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,66.763,67.054,67.391,67.791,68.249,68.75,69.269,69.774,70.238,70.646,70.987,71.26,71.478,71.656,71.8,71.921,72.026,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.37,72.668,72.971,73.264,73.538,73.787,74.012,74.218,74.41,74.591,74.761,74.923,75.079,75.23,75.379,75.527,75.675,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.056,76.199,76.341,76.482,76.622,76.761,76.9,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,65.324,65.903,66.448,66.965,67.46,67.937,68.403,68.861,69.312,69.759,70.198,70.626,71.039,71.431,71.803,72.155,72.489,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,73.377,73.535,73.691,73.847,74.004,74.163,74.324,74.486,74.648,74.811,74.973,75.133,75.292,75.448,75.603,75.755,75.906,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,68.9121951219512,68.5073170731707,68.0560975609756,68.5536585365854,68.9560975609756,68.8512195121951,69.4048780487805,70.2073170731707,70.4560975609756,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,77.7219512195122,77.9731707317073,78.0756097560976,78.1292682926829,78.8780487804878,78.9804878048781,79.380487804878,79.7829268292683,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,80.9926829268293,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,68.329,68.356,68.46,68.619,68.815,69.023,69.218,69.385,69.517,69.611,69.676,69.731,69.798,69.895,70.027,70.192,70.384,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.319,59.595,59.855,60.113,60.373,60.639,60.907,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,77.8853658536585,77.8853658536585,78.0878048780488,78.3341463414634,78.4853658536586,78.6853658536586,78.8878048780488,78.9341463414634,79.2365853658537,79.3884390243903,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731707,81.0121951219512,81.2270731707317,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,60.758,61.625,62.484,63.322,64.126,64.882,65.578,66.214,66.792,67.315,67.79,68.227,68.639,69.038,69.43,69.817,70.197,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,60.69,61.26,61.829,62.399,62.968,63.538,64.113,64.692,65.272,65.847,66.408,66.945,67.451,67.922,68.357,68.756,69.125,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,74.413,74.653,74.824,74.967,75.096,75.223,75.353,75.486,75.619,75.758,75.905,76.06,76.223,76.39,76.561,76.735,76.911,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,49.03,48.838,49.108,49.788,50.832,52.165,53.695,55.312,56.919,58.45,59.868,61.179,62.425,63.63,64.78,65.846,66.797,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,70.055,70.486,70.896,71.29,71.67,72.04,72.405,72.768,73.129,73.488,73.838,74.174,74.488,74.777,75.042,75.284,75.509,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,75.202,75.425,75.65,75.875,76.093,76.291,76.455,76.577,76.656,76.699,76.719,76.734,76.764,76.823,76.917,77.046,77.203,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,71.6634146341463,71.7682926829268,71.8658536585366,72.0658536585366,72.5634146341463,72.5609756097561,72.6121951219512,72.6634146341463,72.9634146341463,73.4121951219512,73.5121951219512,74.1634146341463,74.3146341463415,74.8609756097561,74.4658536585366,74.6146341463415,74.6146341463415,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,50.489,50.893,51.384,51.956,52.602,53.31,54.063,54.841,55.618,56.376,57.096,57.762,58.377,58.942,59.457,59.927,60.361,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,51.545,51.779,51.977,52.19,52.437,52.735,53.09,53.492,53.926,54.386,54.861,55.338,55.807,56.259,56.688,57.094,57.481,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,69.747,70.358,70.882,71.293,71.584,71.76,71.842,71.869,71.881,71.899,71.941,72.019,72.127,72.259,72.418,72.599,72.798,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,58.432,59.335,60.283,61.241,62.186,63.088,63.927,64.695,65.391,66.01,66.555,67.034,67.466,67.868,68.251,68.62,68.981,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,50.026,50.495,51.059,51.671,52.301,52.916,53.494,54.033,54.535,54.996,55.424,55.832,56.241,56.665,57.111,57.582,58.073,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,79.2365853658537,79.4878048780488,79.590243902439,79.8390243902439,80.1414634146341,80.2926829268293,80.2926829268293,80.5439024390244,80.6951219512195,80.9463414634146,81.1975609756098,81.4487804878049,81.583512195122,81.7720487804878,81.9530487804878,82.1290243902439,82.300512195122,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,82.190243902439,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,43.937,43.755,43.718,43.827,44.08,44.466,44.967,45.552,46.19,46.862,47.56,48.284,49.041,49.825,50.621,51.41,52.171,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,47.593,47.603,47.638,47.716,47.848,48.054,48.349,48.729,49.182,49.691,50.233,50.778,51.3,51.778,52.204,52.575,52.903,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,77.602,77.864,78.137,78.417,78.699,78.975,79.241,79.493,79.729,79.947,80.145,80.326,80.494,80.654,80.807,80.958,81.107,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,76.793,77.034,77.255,77.453,77.632,77.791,77.934,78.066,78.193,78.32,78.454,78.599,78.758,78.931,79.117,79.315,79.522,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,71.955,72.401,72.84,73.257,73.642,73.987,74.291,74.562,74.808,75.032,75.236,75.425,75.602,75.769,75.932,76.092,76.252,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,71.019,71.293,71.556,71.813,72.062,72.303,72.532,72.749,72.952,73.143,73.325,73.5,73.673,73.847,74.022,74.2,74.381,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,59.46,59.529,59.617,59.738,59.904,60.126,60.407,60.734,61.094,61.475,61.862,62.24,62.596,62.923,63.216,63.473,63.701,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,50.041,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.907,57.418,57.894,58.347,58.782,59.205,59.621,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,51.397,51.577,52.017,52.703,53.608,54.687,55.881,57.115,58.321,59.452,60.473,61.37,62.169,62.89,63.536,64.112,64.625,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,77.448,77.597,77.736,77.868,77.993,78.114,78.234,78.355,78.481,78.613,78.756,78.911,79.077,79.254,79.44,79.634,79.831,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,46.672,46.567,46.637,46.856,47.205,47.658,48.183,48.747,49.321,49.883,50.423,50.945,51.463,51.989,52.52,53.053,53.582,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,72.8078048780488,74.5129268292683,74.7173170731707,74.6139024390244,75.520243902439,75.2446341463415,75.8368292682927,75.7056097560976,75.9121951219512,76.1682926829268,76.4756097560976,76.7756097560976,76.9243902439024,77.1268292682927,77.4780487804878,77.2756097560976,78.0219512195122,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,76.658,76.88,77.119,77.381,77.663,77.95,78.225,78.469,78.672,78.833,78.959,79.064,79.167,79.282,79.415,79.57,79.742,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..,..,..,..,..,..,74.709756097561,75.3634146341464,75.309756097561,76.1560975609756,..,77.4731707317073,..,..,77.8243902439025,..,77.8731707317073,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,78.01,78.14,78.264,78.386,78.506,78.631,78.764,78.911,79.071,79.245,79.43,79.62,79.81,79.995,80.173,80.344,80.508,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,74.9682926829268,75.1731707317073,75.2219512195122,75.1707317073171,75.7219512195122,75.9243902439025,76.5243902439024,76.7243902439025,76.9756097560976,77.0780487804878,77.4243902439025,77.8731707317073,78.0756097560976,78.1756097560976,78.8243902439024,78.5780487804878,78.3317073170732,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,76.5926829268293,76.7926829268293,76.8951219512195,77.1439024390244,77.4926829268293,77.8439024390244,78.0951219512195,78.1951219512195,78.4463414634146,78.5975609756098,79.1,79.8,80.0512195121951,80.3,80.7,80.7024390243902,80.7048780487805,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,57.021,57.1,57.233,57.424,57.677,57.999,58.393,58.848,59.345,59.865,60.383,60.87,61.31,61.691,62.006,62.26,62.465,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..,..,76.5975609756098,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,70.568,70.775,70.99,71.207,71.425,71.644,71.862,72.078,72.29,72.498,72.702,72.901,73.098,73.292,73.483,73.673,73.861,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,72.933,73.22,73.482,73.72,73.937,74.136,74.322,74.501,74.678,74.859,75.046,75.244,75.449,75.661,75.879,76.102,76.327,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,68.613,68.807,68.972,69.127,69.282,69.444,69.618,69.797,69.98,70.167,70.357,70.55,70.742,70.933,71.12,71.304,71.484,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,68.834,69.135,69.44,69.743,70.048,70.357,70.668,70.98,71.291,71.599,71.902,72.195,72.479,72.753,73.015,73.267,73.512,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,52.752,53.099,53.415,53.709,53.987,54.262,54.55,54.858,55.19,55.543,55.908,56.265,56.601,56.905,57.18,57.434,57.681,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,55.258,55.847,56.483,57.174,57.916,58.691,59.472,60.23,60.94,61.591,62.181,62.718,63.22,63.703,64.174,64.636,65.092,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,70.4170731707317,70.2585365853659,70.9048780487805,71.3170731707317,71.909756097561,72.5682926829268,72.6914634146341,72.8146341463415,73.7707317073171,74.8243902439024,75.4292682926829,76.2292682926829,76.3268292682927,77.1414634146341,77.0341463414634,77.590243902439,77.7365853658537,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,48.521,47.352,46.508,46.018,45.905,46.185,46.846,47.805,48.969,50.26,51.598,52.912,54.158,55.296,56.287,57.107,57.754,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,51.94,52.593,53.347,54.209,55.172,56.221,57.333,58.466,59.58,60.643,61.625,62.501,63.275,63.952,64.535,65.037,65.475,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,78.4853658536586,78.6390243902439,78.8414634146341,78.9414634146341,79.1414634146342,79.3414634146342,79.6390243902439,79.8878048780488,80.1878048780488,80.3878048780488,80.6365853658537,80.8878048780488,81.1878048780488,81.4390243902439,81.690243902439,81.990243902439,82.2414634146342,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,67.553,67.734,67.91,68.079,68.243,68.405,68.569,68.737,68.909,69.087,69.267,69.448,69.625,69.796,69.96,70.117,70.269,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,77.4658536585366,77.9658536585366,78.119512195122,78.3682926829268,78.7146341463415,78.8170731707317,79.2146341463415,79.2634146341464,79.5682926829268,79.719512195122,79.8707317073171,80.4707317073171,80.6268292682927,80.9756097560976,81.1804878048781,81.4804878048781,81.7804878048781,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,79.0560975609756,79.1585365853659,79.2609756097561,79.1146341463415,80.1634146341463,80.1634146341463,80.8121951219512,81.1121951219512,81.2146341463415,81.4146341463415,81.6634146341463,82.1146341463415,81.9682926829268,82.219512195122,82.6707317073171,82.2731707317073,82.2731707317073,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,72.313,72.669,73.029,73.396,73.766,74.132,74.486,74.818,75.123,75.397,75.643,75.862,76.065,76.257,76.444,76.628,76.813,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,59.302,59.171,59.154,59.266,59.512,59.89,60.388,60.969,61.597,62.247,62.893,63.519,64.119,64.686,65.211,65.685,66.105,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,55.924,56.329,56.732,57.132,57.527,57.914,58.289,58.648,58.991,59.316,59.622,59.911,60.187,60.452,60.707,60.954,61.193,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,71.907,72.182,72.408,72.575,72.682,72.73,72.73,72.704,72.673,72.65,72.649,72.68,72.742,72.832,72.951,73.096,73.261,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,77.9268292682927,78.3292682926829,78.2292682926829,78.3804878048781,78.6804878048781,78.9317073170732,79.1317073170732,79.5341463414634,79.7365853658537,79.8365853658537,79.9878048780488,80.4365853658537,80.5390243902439,80.490243902439,81.090243902439,80.6414634146341,80.6414634146341,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,56.994,57.147,57.41,57.761,58.187,58.666,59.167,59.663,60.128,60.55,60.924,61.254,61.561,61.86,62.154,62.448,62.742,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,77.8878048780488,78.3878048780488,78.6414634146341,78.8414634146341,79.0390243902439,79.2390243902439,79.4390243902439,79.4390243902439,79.9390243902439,80.1878048780488,80.3878048780488,80.7317073170732,80.6341463414634,81.2853658536585,81.3853658536585,81.0365853658537,81.0365853658537,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,66.9634146341463,67.6078048780488,68.1626829268293,68.4353658536586,68.8068292682927,69.2207317073171,69.5192682926829,69.9826829268293,70.2134146341463,70.4678048780488,70.8570731707317,71.0624390243902,71.2990243902439,71.8304878048781,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,70.337,70.551,70.77,70.991,71.213,71.438,71.667,71.903,72.142,72.383,72.618,72.84,73.044,73.227,73.388,73.531,73.659,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,75.01,75.369,75.715,76.047,76.362,76.663,76.956,77.249,77.543,77.84,78.134,78.419,78.689,78.938,79.168,79.379,79.575,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,67.849,68.304,68.717,69.092,69.437,69.763,70.085,70.415,70.76,71.122,71.494,71.867,72.227,72.562,72.869,73.15,73.409,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,51.181,51.229,51.451,51.859,52.444,53.17,53.972,54.775,55.521,56.185,56.765,57.282,57.782,58.301,58.846,59.419,60.015,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,52.27,52.45,52.636,52.845,53.084,53.357,53.663,53.991,54.333,54.687,55.05,55.424,55.807,56.2,56.598,57,57.403,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,64.93,65.065,65.192,65.313,65.428,65.538,65.642,65.741,65.836,65.929,66.022,66.117,66.216,66.318,66.425,66.536,66.65,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,57.716,57.969,58.239,58.535,58.86,59.219,59.61,60.023,60.448,60.876,61.296,61.699,62.078,62.432,62.757,63.055,63.33,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,70.537,70.756,70.957,71.15,71.341,71.532,71.724,71.911,72.093,72.27,72.446,72.624,72.805,72.99,73.181,73.376,73.575,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,80.8780487804878,81.4243902439025,81.4268292682927,81.3780487804878,81.8292682926829,81.6292682926829,82.3756097560976,82.3268292682927,82.3756097560976,82.7756097560976,82.9780487804878,83.4219512195122,83.4804878048781,83.8317073170732,83.9804878048781,84.2780487804878,84.2268292682927,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,71.2463414634146,72.2487804878049,72.3487804878049,72.3,72.6487804878049,72.6487804878049,73.0975609756098,73.1512195121951,73.7024390243903,73.9048780487805,74.2073170731707,74.8585365853659,75.0634146341463,75.5658536585366,75.7634146341463,75.5682926829269,75.5682926829269,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,79.6536585365854,80.690243902439,80.5024390243903,80.9634146341464,80.9975609756098,81.5024390243902,81.1585365853659,81.4536585365854,81.609756097561,81.7512195121951,81.8975609756098,82.3585365853659,82.9170731707317,82.0609756097561,82.8609756097561,82.4682926829268,82.4682926829268,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,62.582,62.977,63.368,63.759,64.154,64.556,64.966,65.383,65.802,66.219,66.625,67.013,67.377,67.714,68.021,68.302,68.56,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,66.285,66.467,66.643,66.82,67.002,67.191,67.386,67.581,67.775,67.964,68.15,68.331,68.509,68.684,68.856,69.025,69.191,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,70.144,70.526,70.899,71.249,71.582,71.912,72.259,72.635,73.044,73.481,73.932,74.375,74.787,75.153,75.466,75.73,75.953,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,69.169,69.081,68.932,68.742,68.537,68.35,68.217,68.156,68.177,68.283,68.465,68.702,68.963,69.219,69.458,69.672,69.862,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,76.5365853658537,77.1341463414634,77.6341463414634,78.1390243902439,78.5390243902439,78.9439024390244,79.2414634146342,79.6414634146341,80.0951219512195,80.190243902439,80.7439024390244,80.7463414634146,80.8463414634146,81,81.3487804878049,81.4536585365854,81.6073170731707,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..,..,77.9658536585366,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,78.9536585365854,79.4073170731707,79.4512195121951,79.6487804878049,80.1463414634146,80.1512195121951,80.5536585365854,80.5048780487805,80.9512195121951,81.4048780487805,81.6024390243903,81.6560975609756,81.7048780487805,82.0560975609756,82.1536585365854,82.0512195121951,82.4073170731707,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,79.7780487804878,80.1268292682927,80.2292682926829,79.9829268292683,80.7804878048781,80.7829268292683,81.2829268292683,81.4341463414634,81.4853658536586,81.6365853658537,82.0365853658537,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,82.5439024390244,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,72.327,72.487,72.683,72.911,73.167,73.446,73.739,74.038,74.334,74.619,74.883,75.122,75.334,75.523,75.689,75.836,75.97,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,81.0760975609756,81.4170731707317,81.5634146341463,81.76,82.030243902439,81.9251219512195,82.3219512195122,82.5070731707317,82.5875609756098,82.9314634146342,82.8426829268293,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,71.73,71.907,72.083,72.256,72.427,72.594,72.76,72.924,73.087,73.25,73.412,73.571,73.729,73.883,74.034,74.182,74.329,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,65.5170731707317,65.7682926829268,65.9682926829268,65.8658536585366,65.8878048780488,65.909756097561,66.1609756097561,66.5048780487805,67.0219512195122,68.4292682926829,68.2953658536585,68.98,69.61,70.45,71.62,72,72.3,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,51.751,52.004,52.565,53.413,54.513,55.819,57.271,58.784,60.275,61.68,62.936,64.008,64.907,65.651,66.242,66.695,67.032,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,64.001,64.231,64.43,64.599,64.74,64.859,64.961,65.054,65.146,65.244,65.354,65.481,65.623,65.78,65.949,66.13,66.317,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People’s Rep.",PRK,65.268,66.087,66.925,67.615,68.102,68.389,68.54,68.676,68.886,69.187,69.572,70.011,70.448,70.842,71.179,71.457,71.685,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,75.909756097561,76.4121951219512,76.7658536585366,77.2146341463415,77.6658536585366,78.1682926829268,78.6682926829268,79.119512195122,79.5170731707317,79.9682926829268,80.1170731707317,80.5682926829269,80.819512195122,81.2707317073171,81.7219512195122,82.0243902439024,82.0243902439024,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,67.9512195121951,67.9975609756098,67.9439024390244,68.1951219512195,68.4463414634146,68.6951219512195,68.9463414634146,69.1975609756098,69.3975609756098,69.6487804878049,69.9,70.1487804878049,70.4975609756098,70.7975609756098,71.0975609756098,71.3463414634146,71.6463414634146,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,73.16,73.232,73.3,73.367,73.434,73.505,73.584,73.67,73.764,73.868,73.979,74.096,74.217,74.338,74.458,74.577,74.694,..,..
